"BehaviorSpace results (NetLogo 5.0.5)"
"./Threads/SimAnn.nlogo"
"annealing-userview"
"05/06/2014 16:48:19:779 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","forumid","mode","startPercent","endPercent","[step]","lastAcceptedDistance","USERVIEWGEOMETRICVALUEP","newThreadProb","filterShowAll","filterShowWithNoReply","filterShowHasReply"
"75","126","""userview""","0","50","0","0.049380877908057","0.48","0.33","1","0","0"
"77","282","""userview""","0","50","0","0.18456430792316178","0.52","0.23","1","0","0"
"76","282","""userview""","0","50","0","0.1834582634501382","0.35","0.23","1","0","0"
"78","282","""userview""","0","50","0","0.1865412984240872","0.91","0.23","1","0","0"
"79","282","""userview""","0","50","0","0.18614390182831642","0.2","0.23","1","0","0"
"80","282","""userview""","0","50","0","0.18443891676388785","0.42","0.23","1","0","0"
"81","418","""userview""","0","50","0","0.15808177480226085","0.46","0.2","1","0","0"
"82","418","""userview""","0","50","0","0.15816807477790412","0.3","0.2","1","0","0"
"83","418","""userview""","0","50","0","0.15857854310462463","0.56","0.2","1","0","0"
"84","418","""userview""","0","50","0","0.159003035347036","0.56","0.2","1","0","0"
"85","418","""userview""","0","50","0","0.15643940514955462","0.08","0.2","1","0","0"
"86","292","""userview""","0","50","0","0.11334716990162293","0.31","0.24","1","0","0"
"87","292","""userview""","0","50","0","0.11087983790909943","0.99","0.24","1","0","0"
"88","292","""userview""","0","50","0","0.10823663383075559","0.94","0.24","1","0","0"
"89","292","""userview""","0","50","0","0.11390993005884775","0.99","0.24","1","0","0"
"90","292","""userview""","0","50","0","0.11318012925786591","0.26","0.24","1","0","0"
"92","405","""userview""","0","50","0","0.1534374439351048","0.73","0.21","1","0","0"
"93","405","""userview""","0","50","0","0.15386565539350583","0.52","0.21","1","0","0"
"91","405","""userview""","0","50","0","0.15684402833815977","0.08","0.21","1","0","0"
"94","405","""userview""","0","50","0","0.15446007938693257","0.5","0.21","1","0","0"
"95","405","""userview""","0","50","0","0.1542325962727191","0.68","0.21","1","0","0"
"96","413","""userview""","0","50","0","0.11983516741404436","0.81","0.22","1","0","0"
"97","413","""userview""","0","50","0","0.12282713087562358","0.52","0.22","1","0","0"
"98","413","""userview""","0","50","0","0.12145322623454399","0.91","0.22","1","0","0"
"99","413","""userview""","0","50","0","0.12257132202766856","0.2","0.22","1","0","0"
"100","413","""userview""","0","50","0","0.1222086199297761","0.34","0.22","1","0","0"
"101","256","""userview""","0","50","0","0.12226054198388918","0.8","0.22","1","0","0"
"102","256","""userview""","0","50","0","0.12345827281253338","0.56","0.22","1","0","0"
"103","256","""userview""","0","50","0","0.12143530003105454","0.93","0.22","1","0","0"
"104","256","""userview""","0","50","0","0.12135007531953593","0.24","0.22","1","0","0"
"105","256","""userview""","0","50","0","0.12036499431088318","0.11","0.22","1","0","0"
"106","243","""userview""","0","50","0","0.06395205275587645","0.45","0.3","1","0","0"
"107","243","""userview""","0","50","0","0.06497697891953438","0.31","0.3","1","0","0"
"108","243","""userview""","0","50","0","0.06589916869688726","0.2","0.3","1","0","0"
"110","243","""userview""","0","50","0","0.06511323797714728","0.63","0.3","1","0","0"
"109","243","""userview""","0","50","0","0.06433081699167784","0.44","0.3","1","0","0"
"111","44","""userview""","0","50","0","0.1529917153397207","0.65","0.18","1","0","0"
"112","44","""userview""","0","50","0","0.15161412941379","0.92","0.18","1","0","0"
"113","44","""userview""","0","50","0","0.15239782536802154","0.81","0.18","1","0","0"
"114","44","""userview""","0","50","0","0.15323251940385363","0.83","0.18","1","0","0"
"115","44","""userview""","0","50","0","0.15218290851881652","0.2","0.18","1","0","0"
"117","276","""userview""","0","50","0","0.13050544184423946","0.91","0.29","1","0","0"
"116","276","""userview""","0","50","0","0.1307277901963231","0.27","0.29","1","0","0"
